,rally,receiving_shot,returned_shot,combined,is_winner,is_forced_error
82,5f29b28f39b28f37b3n@,f3,b3,f3b3,0,0
83,6b28f38f37s+18b3d#,s+1,b3,s+1b3,0,1
84,5f28f28b2n@,f2,b2,f2b2,0,0
85,6s29f29f38f#,f2,f3,f2f3,0,1
86,6r27f+19f18*,f+1,f1,f+1f1,1,0
87,4b28b29f19b28f38f38b39f3n@,b3,f3,b3f3,0,0
88,6b28f38s27f+3x@,s2,f+3,s2f+3,0,0
89,6f28f19f19b29f18b29f38r38f+19b1n#,f+1,b1,f+1b1,0,1
90,5s38f19s17r18f38s38f39b19s19f18b38*,f1,b3,f1b3,1,0
91,6f39b29f39*,b2,f3,b2f3,1,0
92,5b29f38f2d#,f3,f2,f3f2,0,1
93,6s28f38s28f+39b3d#,f+3,b3,f+3b3,0,1
94,4b28f18s29f+37f3z19b19*,z1,b1,z1b1,1,0
95,5s18f17s39f29b29f17s28f39f38b+28s2v18b17*,v1,b1,v1b1,1,0
96,6+s27h^17l-2o37*,l-2,o3,l-2o3,1,0
97,6b29f17f29f28f3n@,f2,f3,f2f3,0,0
98,4f29f19b28s28f+38b2z^17*,b2,z^1,b2z^1,1,0
99,6b28f28b19f1n#,b1,f1,b1f1,0,1
100,6f27f+19b2z39l3o27*,l3,o2,l3o2,1,0
101,4f18b28s19f28b28s2d@,b2,s2,b2s2,0,0
102,4f37b+28b17h^37r-37*,h^3,r-3,h^3r-3,1,0
103,4b39b38f38b39*,f3,b3,f3b3,1,0
104,6b29f19f19b39s29f+18f1z38*,f1,z3,f1z3,1,0
105,5b29f39f!37f+39*,f3,f+3,f3f+3,1,0
106,6b28f38b3d@,f3,b3,f3b3,0,0
107,4f37f28b28f38f39b38f37s18b27f38f37b39f39f27b28f18b28f18b38s38f19f29f38b18b29b29f38b39f37y3n@,f3,y3,f3y3,0,0
108,c6f37f+19f3v3n#,f3,v3,f3v3,0,1
109,6b19f28f39w@,f2,f3,f2f3,0,0
110,6s28f+38f1n#,f+3,f1,f+3f1,0,1
111,4f28b39s39b38b39b38f39b29f19f18f+39m39*,f+3,m3,f+3m3,1,0
112,4s29f18f19f1d@,f1,f1,f1f1,0,0
113,4s38f18f18f28b29b28f38b39s39s39f38b29f!#,f3,b2,f3b2,0,1
114,6f38b39s29f19f18f2d@,f1,f2,f1f2,0,0
115,4r38b39s38f38s39b38s39b19f37b39s39s38s19f28f18f38s37b+19f39w#,b+1,f3,b+1f3,0,1
116,5b28f19l2j38*,l2,j3,l2j3,1,0
117,5f27f19f1d#,f1,f1,f1f1,0,1
118,4f29b27s28f+18*,s2,f+1,s2f+1,1,0
119,6s28f+18f1v2n#,f1,v2,f1v2,0,1
120,6f28f17f19f39s3n@,f3,s3,f3s3,0,0
121,4s39b38b38w@,b3,b3,b3b3,0,0
122,6s19f+38b2d#,f+3,b2,f+3b2,0,1
123,6s29f18f39s39b19r29f18f39b28b38y37s-19l29*,s-1,l2,s-1l2,1,0
124,c6f28f38s39b37b38b3d@,b3,b3,b3b3,0,0
125,6r28f+18f2z37*,f2,z3,f2z3,1,0
126,6r27r+29m3p2n#,m3,p2,m3p2,0,1
127,4f29b38b37b39b38b3d@,b3,b3,b3b3,0,0
128,4r28f+38m3o27r2n#,o2,r2,o2r2,0,1
129,6f27f+38m2o17*,m2,o1,m2o1,1,0
130,4f29b38b39b38b29f19f2d@,f1,f2,f1f2,0,0
131,5b18f28f29b39f28r2n#,f2,r2,f2r2,0,1
132,6f37b39b39f39f18f28f29b3d@,f2,b3,f2b3,0,0
133,6f19f19f18f39b27f29f18f19f19f28s29f38s37s+29f19*,s+2,f1,s+2f1,1,0
134,c6b29f29s38s37s29b38b39b38f+19r17u-27*,r1,u-2,r1u-2,1,0
135,6f29b38s39f38s39b39b19f17f17r27s+19l2o37*,l2,o3,l2o3,1,0
136,6r38f38b27f17f1d@,f1,f1,f1f1,0,0
137,6s28f19f28f18f27f39w@,f2,f3,f2f3,0,0
138,5r28u+37b37*,u+3,b3,u+3b3,1,0
139,6r18f18f29b28b37s28f39b28f28b27f38s39f39b38b37s18f18f38*,f1,f3,f1f3,1,0
140,6s29f19f18f3d@,f1,f3,f1f3,0,0
141,4b28f18f38s39b39b38b29f2d@,b2,f2,b2f2,0,0
142,4f28f38b29f18f29b39b3n@,b3,b3,b3b3,0,0
143,4b29f17f19f17f38b29f18f18f18f2d@,f1,f2,f1f2,0,0
144,4b29f38b38s37s+19f1n#,s+1,f1,s+1f1,0,1
145,6r37r-19l29f3d#,l2,f3,l2f3,0,1
146,4s29f19f1n#,f1,f1,f1f1,0,1
147,6b29f17f39*,f1,f3,f1f3,1,0
148,6f37u+37m-39*,u+3,m-3,u+3m-3,1,0
149,4b37s29f18f18f28s29f19w@,s2,f1,s2f1,0,0
150,6s29f+38s3n#,f+3,s3,f+3s3,0,1
151,4r29f29b28f38b29f38b39s38b38b28b28f19f38s38b39b1n@,b3,b1,b3b1,0,0
152,c4b29f18f17f19f38s28s39s18f29f3n@,f2,f3,f2f3,0,0
153,5s39b38b27y17r-18f18w#,r-1,f1,r-1f1,0,1
154,4s39f38s37f+38b1d#,f+3,b1,f+3b1,0,1
155,cc6r28f+38m2o19*,m2,o1,m2o1,1,0
156,4s39f38b29f29f19f18f29b38s38s39C,s3,s3,s3s3,0,0
157,5s29f;18f19f2n@,f1,f2,f1f2,0,0
158,6r29f19f39b37s39b38s39f18f18f28f2d@,f2,f2,f2f2,0,0
159,4f28f18r2d@,f1,r2,f1r2,0,0
160,6s29f18f29f39s38s38f38w@,s3,f3,s3f3,0,0
161,5f39s29f38b28f39b28f38b37y17r-3n#,y1,r-3,y1r-3,0,1
162,4b27f+28f2v38b3z2n@,b3,z2,b3z2,0,0
163,6s28f+38b3z28m2o17*,m2,o1,m2o1,1,0
164,c5s27y+17r-1v28*,r-1,v2,r-1v2,1,0
165,4f2s3b2b3b3w@,b3,b3,b3b3,0,0
166,4+b2v2f3z2n@,f3,z2,f3z2,0,0
167,6f2f2f1r2f2s2f3b2n@,f3,b2,f3b2,0,0
168,6f2f2f1f+3m2o2*,m2,o2,m2o2,1,0
169,4r2f2r2f+3m2o2*,m2,o2,m2o2,1,0
170,4f2f2b3b2b2f1f2f+3*,f2,f+3,f2f+3,1,0
171,6f3b3b1r1f+3b2z1*,b2,z1,b2z1,1,0
172,4b2f3b3s2u2n@,s2,u2,s2u2,0,0
173,6f2b3s2n#,b3,s2,b3s2,0,1
174,4f2f2f+3b3z2*,b3,z2,b3z2,1,0
175,6r2f2s2f1f2f3d@,f2,f3,f2f3,0,0
176,4b2f3b2y1f+2b3*,f+2,b3,f+2b3,1,0
177,5b2f2b2f1f1f3b2d#,f3,b2,f3b2,0,1
178,6s2f2b2b3b3b3s1*,b3,s1,b3s1,1,0
179,4b2f2b3b2f3w@,b2,f3,b2f3,0,0
180,6s1f1r2f+1*,r2,f+1,r2f+1,1,0
181,4s2y^3s-2n@,y^3,s-2,y^3s-2,0,0
182,6f2f2f2y3s-2v2*,s-2,v2,s-2v2,1,0
183,4f1r2f1n@,r2,f1,r2f1,0,0
184,4f2r+3s2n#,r+3,s2,r+3s2,0,1
185,6s2f2f3b3b2b3b2f2n@,b2,f2,b2f2,0,0
186,6s2f+2f2z2f-2*,z2,f-2,z2f-2,1,0
187,4s2f3s2f+1*,s2,f+1,s2f+1,1,0
188,4f2b3s2n#,b3,s2,b3s2,0,1
189,4f2f2s2f3n@,s2,f3,s2f3,0,0
190,6f1f1f2s2b2b1r2f+3b2n#,f+3,b2,f+3b2,0,1
191,4s2r-1l2o1r1*,o1,r1,o1r1,1,0
192,6b2f+3s3d#,f+3,s3,f+3s3,0,1
193,5f2f+1f1v2*,f1,v2,f1v2,1,0
194,4f2f+3s2n#,f+3,s2,f+3s2,0,1
195,4f2b2s+3b1v1w@,b1,v1,b1v1,0,0
196,6f2b2f1f2y3s-3z2*,s-3,z2,s-3z2,1,0
197,4s2r3y1n@,r3,y1,r3y1,0,0
198,6b2f3b1f1f2f+2b2z2n@,b2,z2,b2z2,0,0
199,6f2f2f2f3b3w@,f3,b3,f3b3,0,0
200,6s2s-3s2v2d@,s2,v2,s2v2,0,0
201,4f3b2b2b3b2n@,b3,b2,b3b2,0,0
202,4s2f1f2r2n@,f2,r2,f2r2,0,0
203,4f2b2b2b2f2n@,b2,f2,b2f2,0,0
204,4f2f2s2f2b2d@,f2,b2,f2b2,0,0
205,6f3s2b3s2z3b2v1w#,b2,v1,b2v1,0,1
206,6f2f3s2y2f-2z2n#,f-2,z2,f-2z2,0,1
207,6s2f2s1f3s2f-;2*,s2,f-;2,s2f-;2,1,0
208,6f2f1f3b2d@,f3,b2,f3b2,0,0
209,4b2f1r2n#,f1,r2,f1r2,0,1
210,6b2f1r2f+3s3z1*,s3,z1,s3z1,1,0
211,4s2f2f1f2f1*,f2,f1,f2f1,1,0
212,6s2b+3s2n#,b+3,s2,b+3s2,0,1
213,4f2b2s2y2r-3m2o2*,m2,o2,m2o2,1,0
214,6b1f-1r2n#,f-1,r2,f-1r2,0,1
215,6b2f2f2b2f1*,b2,f1,b2f1,1,0
216,4f3b1r2s+2b2n@,s+2,b2,s+2b2,0,0
217,6f2b3s3b3b2f2n@,b2,f2,b2f2,0,0
218,6s2u^2m-2o2*,m-2,o2,m-2o2,1,0
219,4s2f-2b3z3b2*,z3,b2,z3b2,1,0
220,4b3s+2f3*,s+2,f3,s+2f3,1,0
221,6f2f+3b2v2*,b2,v2,b2v2,1,0
222,6s2f+2f3n@,f+2,f3,f+2f3,0,0
223,6b2b1r2y1f-3s2s1w@,s2,s1,s2s1,0,0
224,6f2f3s2n@,f3,s2,f3s2,0,0
225,6f2f2f3*,f2,f3,f2f3,1,0
226,4f2b3s2f+1*,s2,f+1,s2f+1,1,0
227,6f2f2f1*,f2,f1,f2f1,1,0
228,6s2f2f3b3b3w@,b3,b3,b3b3,0,0
229,6s2f3b1f2b2f2b2f2s3f2b1n@,f2,b1,f2b1,0,0
230,6r2f+1f2v2s2n#,v2,s2,v2s2,0,1
231,6f3s2f+2*,s2,f+2,s2f+2,1,0
232,6f3b3b3b3u2*,b3,u2,b3u2,1,0
233,6r2f3s2f1*,s2,f1,s2f1,1,0
234,4b3s2f+1*,s2,f+1,s2f+1,1,0
235,6b2b2b1f2f1f1d@,f1,f1,f1f1,0,0
236,6b2b2f3w@,b2,f3,b2f3,0,0
237,6f2b2b3b2n@,b3,b2,b3b2,0,0
238,4r2s+3b3z2*,b3,z2,b3z2,1,0
239,6f2f3b3n#,f3,b3,f3b3,0,1
240,6f2b3b2b3b2f+2f3*,f+2,f3,f+2f3,1,0
241,4f2f1b3s2u3*,s2,u3,s2u3,1,0
242,6b2b2f1*,b2,f1,b2f1,1,0
243,6b2b2b2f2b2s2b3b3b2f2d#,b2,f2,b2f2,0,1
244,6s2f+3b3z2f1*,z2,f1,z2f1,1,0
245,4+f2z2b2*,z2,b2,z2b2,1,0
246,6f2f3b3d@,f3,b3,f3b3,0,0
247,6f2b2f3w@,b2,f3,b2f3,0,0
248,6b3s2f3b2f2f3x@,f2,f3,f2f3,0,0
249,6s2f1f1f2b+3s2n#,b+3,s2,b+3s2,0,1
250,6b2b+1r2z2t3w@,z2,t3,z2t3,0,0
251,4s2f+3s2o2*,s2,o2,s2o2,1,0
252,6b2b+2f3w@,b+2,f3,b+2f3,0,0
253,6s2f+1f2v2n@,f2,v2,f2v2,0,0
254,4+f2z2b3*,z2,b3,z2b3,1,0
255,6f2b2f3s2f+1*,s2,f+1,s2f+1,1,0
256,4f2r2b1r2f3b2b2s3d@,b2,s3,b2s3,0,0
257,6f2b2b2b2f2b1n@,f2,b1,f2b1,0,0
258,4+f2z3b3*,z3,b3,z3b3,1,0
259,4s2f1f1f3s2b+1f3*,b+1,f3,b+1f3,1,0
260,4f2b+2s2n#,b+2,s2,b+2s2,0,1
261,4+f2z2t2z2*,t2,z2,t2z2,1,0
262,4f3b2s3b1*,s3,b1,s3b1,1,0
263,5+f2z28f19*,z2,f1,z2f1,1,0
264,4+b2v28f3v2n#,f3,v2,f3v2,0,1
265,4s29f28s+39w@,f2,s+3,f2s+3,0,0
266,5s29f+19b2d#,f+1,b2,f+1b2,0,1
267,4+r2v37s19w#,v3,s1,v3s1,0,1
268,c4b29b38f29b39f38b39f39s28s+1n@,s2,s+1,s2s+1,0,0
269,6+b2v18l2d#,v1,l2,v1l2,0,1
270,4s27s+38f1n#,s+3,f1,s+3f1,0,1
271,6s29f18s29f19s28f+18*,s2,f+1,s2f+1,1,0
272,6+s2z^37s-2n#,z^3,s-2,z^3s-2,0,1
273,6s18f18s2n@,f1,s2,f1s2,0,0
274,5f29f29f;18f19f18f2d@,f1,f2,f1f2,0,0
275,6s37s+18b1n#,s+1,b1,s+1b1,0,1
276,6+b2v^37b-1z19w#,b-1,z1,b-1z1,0,1
277,4s29s19s27s+18b2v17*,b2,v1,b2v1,1,0
278,4+r2v39m1z17*,m1,z1,m1z1,1,0
279,5+f27i38b3v2n#,b3,v2,b3v2,0,1
280,6+s3v^17f-1z38*,f-1,z3,f-1z3,1,0
281,4s19f18s+38b1n#,s+3,b1,s+3b1,0,1
282,6r18f2s29f19s19f38*,s1,f3,s1f3,1,0
283,5+b1z39m1v17*,m1,v1,m1v1,1,0
284,6s29f18s1d#,f1,s1,f1s1,0,1
285,6s39b38f2n@,b3,f2,b3f2,0,0
286,6f38b37f3d@,b3,f3,b3f3,0,0
287,6+b2z38f18*,z3,f1,z3f1,1,0
288,4b29b38s39f39b2d@,f3,b2,f3b2,0,0
289,4s28b+18f3n#,b+1,f3,b+1f3,0,1
290,4+b2v^27m-29*,v^2,m-2,v^2m-2,1,0
291,5f28f28s39f38b2n@,f3,b2,f3b2,0,0
292,5f29f38f37b2n@,f3,b2,f3b2,0,0
293,c6s27f+38b2v18r1n#,v1,r1,v1r1,0,1
294,6f27f37s38f37s39f38b28f17f27f+19*,f2,f+1,f2f+1,1,0
295,6b28f38s39f39f18s29f;38f2d@,f;3,f2,f;3f2,0,0
296,4s28f38s2v18l29s39w#,l2,s3,l2s3,0,1
297,6f39f37b28f28b39f19r28f+38*,r2,f+3,r2f+3,1,0
298,6s29f+38s2v18f18*,v1,f1,v1f1,1,0
299,c4b37f+18l38w#,f+1,l3,f+1l3,0,1
300,4s29f+38s3n#,f+3,s3,f+3s3,0,1
301,5b28f+38b2z27r2z37*,r2,z3,r2z3,1,0
302,4b39s29f+18f1x#,f+1,f1,f+1f1,0,1
303,4f38f17s2n#,f1,s2,f1s2,0,1
304,c6s18f18f28f29s3n@,f2,s3,f2s3,0,0
305,5b38f18r28f+1n@,r2,f+1,r2f+1,0,0
306,6b27u+17m-2d#,u+1,m-2,u+1m-2,0,1
307,4f17f29f19b3n@,f1,b3,f1b3,0,0
308,6r28s18r+29f3d#,r+2,f3,r+2f3,0,1
309,4r27f+18f39*,f+1,f3,f+1f3,1,0
310,4s27f+18f3n#,f+1,f3,f+1f3,0,1
311,6s28f+37b2d#,f+3,b2,f+3b2,0,1
312,5f18b;18f17s39s18s27u+37*,s2,u+3,s2u+3,1,0
313,5b29b28f19b28s+3d@,b2,s+3,b2s+3,0,0
314,4b29b29f38f38f29f1d@,f2,f1,f2f1,0,0
315,4b17f+38f3n#,f+3,f3,f+3f3,0,1
316,5b;28s28f3n@,s2,f3,s2f3,0,0
317,6s19f37b19*,f3,b1,f3b1,1,0
318,4+s37h^27r-1n#,h^2,r-1,h^2r-1,0,1
319,4r19f18b38s39f37b38f29f18s18f+39r2n#,f+3,r2,f+3r2,0,1
320,6r28f+18f3d#,f+1,f3,f+1f3,0,1
321,4s39f38b37f38f2n@,f3,f2,f3f2,0,0
322,4f18f28f28f39f29f18s29f+18s3z38*,s3,z3,s3z3,1,0
323,6f28f3b2n@,f3,b2,f3b2,0,0
324,4r17o1f3w#,o1,f3,o1f3,0,1
325,4b38b3f3b1f1f1n@,f1,f1,f1f1,0,0
326,c6s39f3b3f2d@,b3,f2,b3f2,0,0
327,4r28f+3m3o1*,m3,o1,m3o1,1,0
328,6s;27f+1f3z3b-1n@,z3,b-1,z3b-1,0,0
329,5r27y1r2v3*,r2,v3,r2v3,1,0
330,4f18f1u2s3w@,u2,s3,u2s3,0,0
331,6+s27v1f3w#,v1,f3,v1f3,0,1
332,4r17f+3m2o1n@,m2,o1,m2o1,0,0
333,6b17u3b1v2n#,b1,v2,b1v2,0,1
334,5r28f3s3f1d@,s3,f1,s3f1,0,0
335,4s39f3s3f3n@,s3,f3,s3f3,0,0
336,6f27f+3m2o2r3n#,o2,r3,o2r3,0,1
337,5b28f3b2f3b3w@,f3,b3,f3b3,0,0
338,6f38s3s3s3s2f3b2f1f1n@,f1,f1,f1f1,0,0
339,4+f27i3b3z2*,b3,z2,b3z2,1,0
340,4r28b+3m2o1*,m2,o1,m2o1,1,0
341,5s28f1r2f+3d@,r2,f+3,r2f+3,0,0
342,4r29f3b3s3b3s3b3s2s3w@,s2,s3,s2s3,0,0
343,4b38f2f1f3s2d#,f3,s2,f3s2,0,1
344,4b37f1f2n#,f1,f2,f1f2,0,1
345,4f18f1r2f+1f1v3*,f1,v3,f1v3,1,0
346,4b37s3s1f1v3*,f1,v3,f1v3,1,0
347,6f28f3b3f1w@,b3,f1,b3f1,0,0
348,5s38f+3b3z^1*,b3,z^1,b3z^1,1,0
349,4r28s+3b3n@,s+3,b3,s+3b3,0,0
350,6s27b+1f3z3*,f3,z3,f3z3,1,0
351,4r28f3b1*,f3,b1,f3b1,1,0
352,4+s17h3b1v2*,b1,v2,b1v2,1,0
353,4b28f1r2u+3m3t3t2n#,t3,t2,t3t2,0,1
354,6s28f1f1f2f3*,f2,f3,f2f3,1,0
355,4s38f1f3x#,f1,f3,f1f3,0,1
356,5s28f+1f1v3b3*,v3,b3,v3b3,1,0
357,6s29f1f2b2b2y1r1n#,y1,r1,y1r1,0,1
358,4+s27h2r1*,h2,r1,h2r1,1,0
359,4b38s1r2f3b3s+1n@,b3,s+1,b3s+1,0,0
360,4r29f3b3s1f3s2s1r2r+3m2o3b2v1f3n#,v1,f3,v1f3,0,1
361,4f27s+3b2d#,s+3,b2,s+3b2,0,1
362,6f28b3s3d@,b3,s3,b3s3,0,0
363,5s39b3s3f3b1d@,f3,b1,f3b1,0,0
364,6r28f+1l1o3*,l1,o3,l1o3,1,0
365,4s38b+1f3*,b+1,f3,b+1f3,1,0
366,4r39b+3s3z^3*,s3,z^3,s3z^3,1,0
367,6s19f1f;2b3s3f1f2f1f1u1w@,f1,u1,f1u1,0,0
368,4f18f+3s3b1f3w@,b1,f3,b1f3,0,0
369,6r27f+3b1n@,f+3,b1,f+3b1,0,0
370,6s38b3s3b1n@,s3,b1,s3b1,0,0
371,6b29b3s3b2f3b1w@,f3,b1,f3b1,0,0
372,4f27f3b2f1f1d@,f1,f1,f1f1,0,0
373,6r38f3b2f1f1r2b+3s3b1f1w#,b1,f1,b1f1,0,1
374,6f28f3b3f2f3w@,f2,f3,f2f3,0,0
375,4s28f1f2f1f2f3b2n@,f3,b2,f3b2,0,0
376,6s27f+1f3x#,f+1,f3,f+1f3,0,1
377,6s37s+2b3z1n#,b3,z1,b3z1,0,1
378,6r28f3b2f1r3b3b3f3s1r2f3s2u+1r1*,u+1,r1,u+1r1,1,0
379,6r28f3s3f3b2f2s3f3b3d@,f3,b3,f3b3,0,0
380,4r38b3b3s3b3f3b1f1f3s3b3s2f1*,s2,f1,s2f1,1,0
381,c6f28f1f2n@,f1,f2,f1f2,0,0
382,4s19f3b3f1n@,b3,f1,b3f1,0,0
383,6s29f3b2f1f1f3s3d@,f3,s3,f3s3,0,0
384,4s37f+1f2v2*,f2,v2,f2v2,1,0
385,6s29f3s2u+1r1*,u+1,r1,u+1r1,1,0
386,5f38f+3b2v1*,b2,v1,b2v1,1,0
387,6s28f3s2d#,f3,s2,f3s2,0,1
388,6b37b+3f1n#,b+3,f1,b+3f1,0,1
389,6s29f1b1f1b3b3f2f2b1f2f2s1b1f#,s1,b1,s1b1,0,1
390,5f28f+1f1w#,f+1,f1,f+1f1,0,1
391,4r27f+3b3w#,f+3,b3,f+3b3,0,1
392,6f38b3f3b3f3b2b3n@,b2,b3,b2b3,0,0
393,6f38b3u+1*,b3,u+1,b3u+1,1,0
394,6b29f2b3f3s1b1n@,s1,b1,s1b1,0,0
395,4s29f3s1s1f;2r1f1b1f1f3n@,f1,f3,f1f3,0,0
396,6r38f3s1b2d@,s1,b2,s1b2,0,0
397,6s28f3f3b3f3b1n@,f3,b1,f3b1,0,0
398,5f28f3r2n#,f3,r2,f3r2,0,1
399,4b28b1s3y+1b1*,y+1,b1,y+1b1,1,0
400,6f28f2s1f1r1u1n@,r1,u1,r1u1,0,0
401,6s28f3f3y1s2n#,y1,s2,y1s2,0,1
402,6s18f1f1s2s3f3s2f3b2b2f1b2f3f3b2s3s+1b3w@,s+1,b3,s+1b3,0,0
403,6s28f1b2f2f2b3n@,f2,b3,f2b3,0,0
404,6b27f+3b3v1l2o3*,l2,o3,l2o3,1,0
405,4s28f+1r2v3*,r2,v3,r2v3,1,0
406,4s37b+3f3w#,b+3,f3,b+3f3,0,1
407,5f28f2b3s1f3b3C,f3,b3,f3b3,0,0
408,6b38f3b3n#,f3,b3,f3b3,0,1
409,6f29f2f3*,f2,f3,f2f3,1,0
410,4+s38z3f3z2*,f3,z2,f3z2,1,0
411,4+s17j3f3z1n#,f3,z1,f3z1,0,1
412,4f27f1m2o3r1f1b3z1*,b3,z1,b3z1,1,0
413,6s37f+3f1*,f+3,f1,f+3f1,1,0
414,4+s37z3f2v2*,f2,v2,f2v2,1,0
415,6f28f+3b2v1*,b2,v1,b2v1,1,0
416,6b28f+1f2z^3*,f2,z^3,f2z^3,1,0
417,4+s27z1r3n#,z1,r3,z1r3,0,1
418,6s18j+3b1n#,j+3,b1,j+3b1,0,1
419,6f27f+3b3n#,f+3,b3,f+3b3,0,1
420,c6s17f+1b2d#,f+1,b2,f+1b2,0,1
421,6r28f+1l1o=1r2f+;3m+1f2v^1*,f2,v^1,f2v^1,1,0
422,6s38f1s2f1b2f+1s2z1b3w@,z1,b3,z1b3,0,0
423,4f37f+;3m1w#,f+;3,m1,f+;3m1,0,1
424,4b28f3f3b1x@,f3,b1,f3b1,0,0
425,6s28f3f3s3f3b3f1f1b+3s1z3b3n@,z3,b3,z3b3,0,0
